#;CAMINHO NO XML;CAMPO;"REGRAS DE NEG‡CIO PARA A NOTA FISCAL DE SERVIÄO ELETR‚NICA DO 
SISTEMA NACIONAL NFS-e";;;;;;"N÷VEL
DA REGRA";"EMISSORES PÈBLICOS NACIONAIS NFS-e
(SEFIN, WEB, APP)";;ADN NFS-e;;OBSERVAÄÂES DE NEG‡CIO;;;
314;NFSe/infNFSe/DPS/infDPS/serv/locPrest/;cPaisPrestacao;Se informado, o c¢digo do pa°s deve existir na tabela de pa°s ISO2 e ser diferente de Brasil (BR).;;Obrig.;Rej.;E0304;Informe um c¢digo de pa°s existente e diferente de Brasil (BR), conforme tabela de pa°s do ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe-ESPEC.;1;V;V;V;V;-;;;
315;NFSe/infNFSe/DPS/infDPS/serv/;cServ;;;;;;;-;-;-;-;-;-;;;
316;NFSe/infNFSe/DPS/infDPS/serv/cServ/;cTribNac;Verificar se o c¢digo de tributaá∆o nacional informado existe conforme a lista de serviáos nacional do Sistema Nacional NFS-e.;;Obrig.;Rej.;E0310;"O c¢digo de tributaá∆o nacional informado n∆o existe
conforme a lista de serviáos nacional do Sistema Nacional NFS-e.";1;V;X;V;X;-;;;
317;;;"Verificar se o c¢digo de tributaá∆o nacional informado est† administrado pelo munic°pio de incidància do ISSQN na data de competància informada na DPS, conforme a lista de serviáos nacional do Sistema Nacional NFS-e.

Exceto quando o emitente da DPS for MEI na data de competància da emiss∆o da NFS-e.";;Obrig.;Rej.;E0312;"O c¢digo de tributaá∆o nacional informado n∆o est† administrado pelo munic°pio de incidància do ISSQN na data de competància informada na DPS, 
conforme a lista de serviáos nacional do Sistema Nacional NFS-e.";3;V;X;X;X;-;;;
318;NFSe/infNFSe/DPS/infDPS/serv/cServ/;cTribMun;"Verificar se o c¢digo de tributaá∆o municipal informado existe e est† administrado pelo munic°pio de incidància do ISSQN na data de competància informada na DPS.

Exceto quando o emitente da DPS for MEI na data de competància da emiss∆o da NFS-e.";;Obrig.;Rej.;E0314;O c¢digo de tributaá∆o municipal informado n∆o existe ou n∆o est† administrado pelo munic°pio de incidància do ISSQN na data de competància informada na DPS, ;3;V;X;X;X;-;;;
319;;;N∆o Ç permitido informar 000 para o codigo de tributaá∆o municipal na DPS.;;Obrig.;Rej.;E0315;N∆o Ç permitido informar 000 para o codigo de tributaá∆o municipal na DPS.;1;V;V;V;V;-;;;
320;NFSe/infNFSe/DPS/infDPS/serv/cServ/;xDescServ;-;;-;-;-;-;-;-;-;-;-;-;;;
321;NFSe/infNFSe/DPS/infDPS/serv/cServ/;cNBS;O c¢digo da lista NBS informado na DPS n∆o existe, conforme tabela NBS do ANEXO_B-NBS2-LISTA_SERVICO_NACIONAL-SNNFSe do Manual Integrado do Sistema Nacional NFS-e.;;Obrig.;Rej.;E0316;C¢digo da lista NBS informado inexistente tabela de NBS do sistema.;2;V;X;V;X;-;;;
322;;;"Se o emitente for o prestador (tpEmit = 1) e qualquer um dos campos abaixo for informado na DPS,

Pa°s no exterior do endereáo do tomador do serviáo ou
Pa°s no exterior do endereáo do intermedi†rio do serviáo ou
cPaisPrestacao Ç informado,

ent∆o Ç obrigat¢rio informar na DPS um  item da NBS.";;Obrig.;Rej.;E0318;ê obrigat¢rio informar na DPS um item da NBS para casos de exportaá∆o de serviáo.;2;V;X;V;X;-;;;
323;;;"Se o emitente for o tomador (tpEmit = 2) ou o intermedi†rio de serviáo (tpEmit = 3), e qualquer um dos campos abaixo for informado na DPS

Pa°s no exterior do endereáo do prestador do serviáo ou
cPaisPrestacao Ç informado,

ent∆o Ç obrigat¢rio informar na DPS um item da NBS.";;Obrig.;Rej.;E0320;ê obrigat¢rio informar na DPS um item da NBS para casos de importaá∆o de serviáo.;2;V;X;V;X;-;;;
324;;;Se o bloco de informaá‰es de IBS/CBS (NFSe/infNFSe/DPS/infDPS/IBSCBS) for informado na DPS, ent∆o Ç obrigat¢rio informar na DPS um item da NBS.;;Obrig.;Rej.;E0322;ê obrigat¢rio informar na DPS um item da NBS se for declarada qualquer informaá∆o de IBS/CBS.;2;V;X;V;X;-;;;
325;NFSe/infNFSe/DPS/infDPS/serv/cServ/;cIntContrib;-;;-;-;-;-;-;-;-;-;-;-;;;
326;NFSe/infNFSe/DPS/infDPS/serv/;comExt;"EXPORTAÄ«O DE SERVIÄO

Se o emitente for o prestador (tpEmit = 1), e qualquer um dos campos abaixo for informado na DPS 

Pa°s no exterior do endereáo do tomador do serviáo,
Pa°s no exterior do endereáo do intermedi†rio do serviáo ou
cPaisPrestacao Ç informado ou 
tribISSQN for Exportaá∆o de serviáo (tribISSQN = 3),

ent∆o o grupo de informaá‰es de comÇrcio exterior devem ser informado.";;Obrig.;Rej.;E0330;ê obrigat¢rio prestar informaá‰es de comÇrcio exterior para as situaá‰es de exportaá∆o de serviáos.;1;V;X;V;X;-;;;
327;;;"IMPORTAÄ«O DE SERVIÄO 

Se o emitente for o tomador (tpEmit = 2) ou o intermedi†rio de serviáo (tpEmit = 3),  e qualquer um dos campos abaixo for informado na DPS

Pa°s no exterior do endereáo do prestador do serviáo ou
cPaisPrestacao Ç informado,

ent∆o o grupo de informaá‰es de comÇrcio exterior devem ser informados.";;Obrig.;Rej.;E0331;ê obrigat¢rio prestar informaá‰es de comÇrcio exterior para as situaá‰es de importaá∆o de serviáos.;1;V;X;V;X;-;;;
328;NFSe/infNFSe/DPS/infDPS/serv/comExt/;mdPrestacao;Se o valor do campo mdPrestacao for 0, ent∆o a DPS deve ser rejeitada.;;Obrig.;Rej.;E0333;Valor 0 para o modo de prestaá∆o n∆o Ç permitido na Sefin do Sistema Nacional NFS-e.;2;V;X;X;X;-;;;
329;NFSe/infNFSe/DPS/infDPS/serv/comExt/;vincPrest;-;;-;-;-;-;-;-;-;-;-;-;;;
330;NFSe/infNFSe/DPS/infDPS/serv/comExt/;tpMoeda;-;;-;-;-;-;-;-;-;-;-;-;;;
331;NFSe/infNFSe/DPS/infDPS/serv/comExt/;vServMoeda;-;;-;-;-;-;-;-;-;-;-;-;;;
332;NFSe/infNFSe/DPS/infDPS/serv/comExt/;mecAFComexP;Se o valor do campo mecAFComexP for 0, ent∆o a DPS deve ser rejeitada.;;Obrig.;Rej.;E0341;Valor 0 para o Mecanismo de apoio/fomento ao ComÇrcio Exterior utilizado pelo prestador do serviáo n∆o Ç permitido na Sefin do Sistema Nacional NFS-e.;2;V;X;X;X;-;;;
333;NFSe/infNFSe/DPS/infDPS/serv/comExt/;mecAFComexT;Se o valor do campo mecAFComexT for 0, ent∆o a DPS deve ser rejeitada.;;Obrig.;Rej.;E0343;Valor 0 para o Mecanismo de apoio/fomento ao ComÇrcio Exterior utilizado pelo tomador do serviáo n∆o Ç permitido na Sefin do Sistema Nacional NFS-e.;2;V;X;X;X;-;;;
334;NFSe/infNFSe/DPS/infDPS/serv/comExt/;movTempBens;Se o valor do campo movTempBens for 0, ent∆o a DPS deve ser rejeitada.;;Obrig.;Rej.;E0345;Valor 0 para o V°nculo da Operaá∆o Ö Movimentaá∆o Tempor†ria de Bens n∆o Ç permitido na Sefin do Sistema Nacional NFS-e.;2;V;X;X;X;-;;;
335;NFSe/infNFSe/DPS/infDPS/serv/comExt/;nDI;Se movTempBens = 2, ent∆o o preenchimento de nDI Ç obrigat¢rio;;Obrig.;Rej.;E0352;O preenchimento do campo nDI (N£mero da Declaraá∆o de Importaá∆o) Ç obrigat¢rio quando o campo (movTempBens) V°nculo da Operaá∆o Ö Movimentaá∆o Tempor†ria de Bens for igual a 2.;2;V;X;X;X;-;;;
336;;;Se movTempBens = 1, ent∆o o preenchimento de nDI e nRE n∆o Ç permitido;;Obrig.;Rej.;E0354;O preenchimento dos campos nDI (N£mero da Declaraá∆o de Importaá∆o) ou do nRE (£mero do Registro de Exportaá∆o) n∆o Ç permitido quando o campo (movTempBens) V°nculo da Operaá∆o Ö Movimentaá∆o Tempor†ria de Bens for igual a 1.;2;V;X;X;X;-;;;
337;NFSe/infNFSe/DPS/infDPS/serv/comExt/;nRE;;;;;;;2;V;X;X;X;-;;;
338;;;Se movTempBens = 3, ent∆o o preenchimento de nRE Ç obrigat¢rio;;Obrig.;Rej.;E0356;O preenchimento do campo nRE (£mero do Registro de Exportaá∆o) Ç obrigat¢rio quando o campo (movTempBens) V°nculo da Operaá∆o Ö Movimentaá∆o Tempor†ria de Bens for igual a 3.;2;V;X;X;X;-;;;
339;NFSe/infNFSe/DPS/infDPS/serv/comExt/;mdic;-;;-;-;;-;-;-;-;-;-;-;;;
340;NFSe/infNFSe/DPS/infDPS/serv;obra; Se o c¢digo de tributaá∆o nacional pertencer a um dos subitens, 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01, 07.19.01, 14.14.03 e 14.14.04 da lista de serviáos, ent∆o o grupo de informaá‰es de obra Ç obrigat¢rio.;;Obrig.;Rej.;E0370;O grupo de informaá‰es de obra Ç obrigat¢rio quando o c¢digo de tributaá∆o nacional pertencer a um dos subitens 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01, 07.19.01, 1414.03 e 14.14.04 da lista de serviáos.;1;V;X;V;X;-;;;
341;;;"Se o c¢digo de tributaá∆o nacional n∆o pertencer a algum dos subitens 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01, 07.19.01, 14.14.03 e 14.14.04 da lista de serviáos, ent∆o o grupo de informaá‰es de obra n∆o Ç permitido.
*Exceá∆o: O grupo de informaá‰es de obra pode ser informado se o c¢digo de tributaá∆o nacional for o 99.01.01.";;Obrig.;Rej.;E0372;O grupo de informaá‰es de obra n∆o Ç permitido quando o c¢digo de tributaá∆o nacional n∆o pertencer a algum dos subitens 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01, 07.19.01, 1414.03 e 14.14.04 da lista de serviáos, com exceá∆o do c¢digo 99.01.01.;1;V;X;V;X;-;;;
342;NFSe/infNFSe/DPS/infDPS/serv/obra/;inscImobFisc;-;;-;-;-;-;-;-;-;-;-;-;;;
343;NFSe/infNFSe/DPS/infDPS/serv/obra/;cObra;-;;-;-;-;-;-;-;-;-;-;-;;;
344;NFSe/infNFSe/DPS/infDPS/serv/obra/;cCIB;C¢digo do Cadastro Imobili†rio Brasileito - CIB deve ser um c¢digo v†lido - 7 caracteres + DV;;Obrig.;Rej.;E0373;C¢digo CIB inv†lido.;-;V;X;V;X;-;;;
345;NFSe/infNFSe/DPS/infDPS/serv/obra/;end;-;;-;-;-;-;-;-;-;-;-;-;;;
346;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;CEP;O CEP a ser informa para endereáo da obra deve pertencer ao munic°pio que foi informado como local da prestaá∆o do serviáo.;;Obrig.;Rej.;E0380;Informe um CEP correspondente ao munic°pio do local da prestaá∆o do serviáo informado nesta DPS para indicar corretamente o endereáo da obra.;1;V;X;V;X;-;;;
347;;;Se o pais da prestaá∆o do serviáo de obra foi informado (cPaisPrestacao foi informado), ent∆o o CEP n∆o pode ser informado.;;Obrig.;Rej.;E0382;O CEP n∆o deve ser informado quando o endereáo da obra ocorrer no exterior do pa°s.;1;V;X;V;X;-;;;
348;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;endExt;Se o pais local da prestaá∆o do serviáo de obra foi informado (cPaisPrestacao foi informado), ent∆o o grupo de informaá‰es de endereáo no exterior deve ser informado.;;Obrig.;Rej.;E0384;O grupo de informaá‰es de endereáo da atividade de obra ocorrido no exterior deve ser informado quando o pa°s do local da prestaá∆o for informado na DPS.;1;V;X;V;X;-;;;
349;;;Se o munic°pio local da prestaá∆o do serviáo de obra foi informado (cMunPrestacao foi informado), ent∆o o grupo de informaá‰es de endereáo no exterior n∆o pode ser informado.;;Obrig.;Rej.;E0386;O grupo de informaá‰es de endereáo da atividade de obra ocorrido no exterior n∆o deve ser informado quando o munic°pio do local da prestaá∆o for informado na DPS.;1;V;X;V;X;-;;;
350;NFSe/infNFSe/DPS/infDPS/serv/obra/end/endExt/;cEndPost;-;;-;-;-;;-;-;-;-;-;-;;;
351;NFSe/infNFSe/DPS/infDPS/serv/obra/end/endExt/;xCidade;-;;-;-;-;;-;-;-;-;-;-;;;
352;NFSe/infNFSe/DPS/infDPS/serv/obra/end/endExt/;xEstProvReg;-;;-;-;-;;-;-;-;-;-;-;;;
353;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;xLgr;-;;-;-;-;;-;-;-;-;-;-;;;
354;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;nro;-;;-;-;-;;-;-;-;-;-;-;;;
355;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;xCpl;-;;-;-;-;;-;-;-;-;-;-;;;
356;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;xBairro;-;;-;-;-;;-;-;-;-;-;-;;;
357;NFSe/infNFSe/DPS/infDPS/serv/;atvEvento;Se o c¢digo de tributaá∆o nacional pertencer ao item 12 da lista de serviáos, ent∆o o grupo de informaá‰es de Atividade/Evento Ç obrigat¢rio.;;Obrig.;Rej.;E0390;O grupo de informaá‰es de Atividade/Evento Ç obrigat¢rio quando o c¢digo de tributaá∆o nacional pertencer ao item 12 da lista de serviáos.;1;V;X;V;X;-;;;
358;;;"Se o c¢digo de tributaá∆o nacional n∆o pertencer ao item 12 da lista de serviáos, ent∆o o grupo de informaá‰es de Atividade/Evento n∆o Ç permitido.
*Exceá∆o: O grupo de informaá‰es de Atividade/Evento pode ser informado se o c¢digo de tributaá∆o nacional for o 99.01.01.";;Obrig.;Rej.;E0392;O grupo de informaá‰es de Atividade/Evento n∆o Ç permitido quando o c¢digo de tributaá∆o nacional n∆o pertencer ao item 12 da lista de serviáos, com exceá∆o do c¢digo 99.01.01.;1;V;X;V;X;-;;;
359;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/;xNome;-;;-;-;-;-;-;-;-;-;-;-;;;
360;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/;dtIni;-;;-;-;-;-;-;-;-;-;-;-;;;
361;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/;dtFim;-;;-;-;-;-;-;-;-;-;-;-;;;
362;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/;idAtvEvt;-;;-;-;-;-;-;-;-;-;-;-;;;
363;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/;end;-;;-;-;-;-;-;-;-;-;-;-;;;
364;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;CEP;Se o munic°pio local da prestaá∆o da atividade de evento foi informado (cMunPrestacao foi informado), ent∆o o CEP deve ser informado e pertencer a este munic°pio.;;Obrig.;Rej.;E0398;Informe um CEP correspondente ao munic°pio do local da prestaá∆o do serviáo informado nesta DPS para indicar corretamente o endereáo da atividade ou evento.;1;V;X;V;X;-;;;
365;;;Se o pais local da prestaá∆o da atividade de evento foi informado (cPaisPrestacao foi informado), ent∆o o CEP n∆o deve ser informado.;;Obrig.;Rej.;E0400;O CEP n∆o deve ser informado quando o endereáo da atividade de evento ocorrer no exterior do pa°s.;1;V;X;V;X;-;;;
366;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;endExt;Se o pais da prestaá∆o da atividade de evento foi informado (cPaisPrestacao foi informado), ent∆o o grupo de informaá‰es do endereáo no exterior deve ser informado.;;Obrig.;Rej.;E0402;O grupo de informaá‰es de endereáo da atividade de evento ocorrido no exterior deve ser informado quando o pa°s do local da prestaá∆o for informado na DPS.;1;V;X;V;X;-;;;
367;;;Se o munic°pio local da prestaá∆o da atividade de evento foi informado (cMunPrestacao foi informado), ent∆o o grupo de informaá‰es  do endereáo no exterior n∆o deve ser informado.;;Obrig.;Rej.;E0404;O grupo de informaá‰es de endereáo da atividade de evento ocorrido no exterior n∆o deve ser informado quando o munic°pio do local da prestaá∆o for informado na DPS.;1;V;X;V;X;-;;;
368;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/endExt/;cEndPost;-;;-;-;-;-;-;-;-;-;-;-;;;
369;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/endExt/;xCidade;-;;-;-;-;-;-;-;-;-;-;-;;;
370;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/endExt/;xEstProvReg;-;;-;-;-;-;-;-;-;-;-;-;;;
371;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;xLgr;-;;-;-;-;-;-;-;-;-;-;-;;;
372;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;nro;-;;-;-;-;-;-;-;-;-;-;-;;;
373;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;xCpl;-;;-;-;-;-;-;-;-;-;-;-;;;
374;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;xBairro;-;;-;-;-;-;-;-;-;-;-;-;;;
375;NFSe/infNFSe/DPS/infDPS/serv;infoComplem;-;;-;-;-;-;-;-;-;-;-;-;;;
376;NFSe/infNFSe/DPS/infDPS/serv/;idDocTec;-;;-;-;-;-;-;-;-;-;-;-;;;
377;NFSe/infNFSe/DPS/infDPS/serv/;docRef;Quando o emitente da DPS for o tomador ou o intermedi†rio do serviáo (tpEmit = 2  ou 3, respectivamente) este campo deve ser obrigatoriamente informado.;;Obrig.;Rej.;E0420;O documento de referància deve ser obrigatoriamente informado quando o emitente da DPS for o tomador ou intermedi†rio do serviáo.;1;V;X;V;X;-;;;
378;NFSe/infNFSe/DPS/infDPS/serv/infoCompl/;xPed;-;;-;-;;-;-;-;-;-;-;-;;;
379;NFSe/infNFSe/DPS/infDPS/serv/infoCompl/;gItemPed;-;;-;-;;-;-;-;-;-;-;-;;;
380;NFSe/infNFSe/DPS/infDPS/serv/infoCompl/gItemPed/;xItemPed;-;;-;-;;-;-;-;-;-;-;-;;;
381;NFSe/infNFSe/DPS/infDPS/serv/;xInfComp;-;;-;-;;-;-;-;-;-;-;-;;;
382;NFSe/infNFSe/DPS/infDPS/;valores;-;;-;-;;-;-;-;-;-;-;-;;;
383;NFSe/infNFSe/DPS/infDPS/valores/;vServPrest;-;;-;-;;-;-;-;-;-;-;-;;;
384;NFSe/infNFSe/DPS/infDPS/valores/vServPrest/;vReceb;O valor recebido deve ser informado na DPS quando o intermedi†rio do serviáo for o emitente da DPS (tpEmit = 3).;;Obrig.;Rej.;E0423;O valor recebido deve ser informado na DPS quando o intermedi†rio do serviáo for o emitente da DPS.;1;V;X;V;X;-;;;
385;;;"O valor recebido n∆o deve ser informado na DPS quando o prestador ou tomador do serviáo for o emitente da DPS 
(tpEmit = 1 ou tpEmit = 2).";;Obrig.;Rej.;E0424;O valor recebido n∆o deve ser informado na DPS quando o prestador ou tomador do serviáo for o emitente da DPS.;1;V;X;V;X;-;;;
386;;;O valor recebido n∆o pode ser menor que o valor do serviáo informado na DPS.;;Obrig.;Rej.;E0425;O valor recebido n∆o pode ser menor que o valor do serviáo informado na DPS.;1;V;X;V;X;-;;;
387;NFSe/infNFSe/DPS/infDPS/valores/vServPrest/;vServ;"vDR Ç:
um valor informado pelo emitente para deduá∆o/reduá∆o da BC do ISSQN;

vCalcDR Ç:
o c†lculo do valor de deduá∆o/reduá∆o da BC do ISSQN:

1) Quando o valor de deduá∆o/reduá∆o for apurado a partir de um percentual informado na DPS, calcular este percentual sobre o valor do serviáo j† abatido o valor do desconto incondicionado.
Ex: 
Valor de deduá∆o/reduá∆o = (Valor do serviáo - valor desconto incodicional) x 
% de deduá∆o/reduá∆o.

VServ >= desconto incondicionado + Valor de deduá∆o/reduá∆o

2) Quando um ou mais documentos s∆o informados pelo emitente na DPS para deduá∆o/reduá∆o da BC do ISSQN. 
Neste caso o resultado do somat¢rio Ç o valor deste campo do leiaute NFS-e;

---------------------------

vInfoBM Ç:
um valor informado pelo emitente para reduzir a BC do ISSQN;

VCalcBM Ç:
o c†lculo do valor de reduá∆o da BC do ISSQN a partir de benef°cio municipal:

1) Quando o valor do benef°cio municipal for apurado a partir de um percentual parametrizado para reduá∆o da base de c†lculo, aplicar o percentual parametrizado sobre o valor do serviáo j† abatidos os valores do desconto incondicionado e deduá∆o/reduá∆o.

Ex: 
Valor de benef°cio municipal = (Valor do serviáo - valor desconto incodicional - valor de deduá∆o/reduá∆o) x % de benef°cio municipal.

VServ >= desconto incondicionado + Valor de deduá∆o/reduá∆o + valor de benef°cio municipal.

2) Quando um valor monet†rio de benef°cio municipal Ç informado pelo emitente na DPS para reduá∆o da BC do ISSQN.";"O valor do serviáo deve ser maior ou igual ao somat¢rio dos valores informados para Desconto Incondicionado, Deduá‰es/Reduá‰es e Benef°cio Municipal.

Valor do Serviáo >= Desconto Incondicionado + Deduá‰es/Reduá‰es + Benef°cio Municipal

vServ >= descIncond + (vDR ou vCalcDR) + (vRedBCBM ou VCalcBM)";Obrig.;Rej.;E0427;O valor do serviáo deve ser maior ou igual ao somat¢rio dos valores informados para Desconto Incondicionado, Deduá‰es/Reduá‰es e Benef°cio Municipal.;2;V;X;V;X;-;;;
388;;;;"O valor do serviáo deve ser maior ou igual ao somat¢rio dos valores informados para Desconto Incondicionado, Desconto Condicionado, Deduá‰es/Reduá‰es, Benef°cio Municipal, valores de tributos devidos (CP, IRRF, CSLL), e valores dos tributos se retidos (PIS, COFINS, ISSQN).

Valor do serviáo >= Desconto condicionado + Desconto incondicionado + (CP, IRRF, CSLL)* + Valores, se retidos (ISSQN, PIS, COFINS)**

vServ >= vDescIncond + vDescCond + (vRetCP + vRetIRRF + vRetCSLL)* + vISSQN**

*Para o resultado do Valor L°quido o CP, IRRF e CSLL ser∆o sempre subtra°dos, se constarem na DPS, pois sempre s∆o retidos.

**Para o resultado do Valor L°quido o ISSQN, somente ser† subtra°do quando for retido.";Obrig.;Rej.;E0428;O valor do serviáo deve ser maior ou igual ao somat¢rio dos valores informados para Desconto Incondicionado, Desconto Condicionado, Deduá‰es/Reduá‰es, Benef°cio Municipal, valores de tributos devidos CP, IRRF, CSLL e ISSQN se o valor deste tributo for retido.;2;V;X;V;X;-;;;
389;;;;"O ISSQN n∆o pode ser objeto de reduá∆o de base de c†lculo que resulte em carga tribut†ria menor que a decorrente da aplicaá∆o da al°quota m°nima de 2,0% do valor do serviáo, exceto para os serviáos a que se referem os subitens:
042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301.

O valor da base de c†lculo do ISSQN da NFS-e Ç encontrada a partir de valores que constam na DPS atravÇs do seguinte c†lculo:

Valor da Base de C†lculo do ISSQN = Valor do Serviáo - Deduá‰es/Reduá‰es - Benef°cio Municipal

vBC = vServ - (vDR ou vCalcDR) - (vInfoBM ou VCalcBM)";Obrig.;Rej.;E0429;O ISSQN n∆o pode ser objeto de reduá∆o de base de c†lculo que resulte em carga tribut†ria menor que a decorrente da aplicaá∆o da al°quota m°nima de 2,0% do valor do serviáo, exceto para os serviáos a que se referem aos subitens 042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301, da lista de serviáos nacional do Sistema Nacional NFS-e.;2;V;X;V;X;-;;;
390;NFSe/infNFSe/DPS/infDPS/valores/;vDescCondIncond;-;;-;-;-;-;-;-;-;-;-;-;;;
391;NFSe/infNFSe/DPS/infDPS/valores/vDescCondIncond/;vDescIncond;Verificar o valor do desconto incondicionado informado na DPS que deve ser menor que o valor do serviáo e maior que zero.;;Obrig.;Rej.;E0431;O valor do desconto incondicionado informado na DPS deve ser menor que o valor do serviáo e maior que zero.;2;V;X;V;X;-;;;
392;NFSe/infNFSe/DPS/infDPS/valores/vDescCondIncond/;vDescCond;Verificar se o valor do desconto condicionado informado na DPS deve ser menor que o valor do serviáo e maior que zero.;;Obrig.;Rej.;E0432;O valor do desconto condicionado informado na DPS deve ser menor que o valor do serviáo e maior que zero.;2;V;X;V;X;-;;;
393;NFSe/infNFSe/DPS/infDPS/valores/;vDedRed;"N∆o Ç permitido o preenchimento dos campos do grupo de informaá‰es relativas Ö Deduá∆o/Reduá∆o para o ISSQN quando ocorrer ""Imunidade"" (tribISSQN = 2), ""Exportaá∆o de serviáo"" (tribISSQN = 3) ou ""N∆o incidància"" (tribISSQN = 4), ou seja, tpRetISSQN tem que ser igual a 1 (tpRetISSQN = 1).";;Obrig.;Rej.;E0435;N∆o Ç permitido o preenchimento dos campos do grupo de informaá‰es relativas Ö Deduá∆o/Reduá∆o do ISSQN quando ocorrer Imunidade, Exportaá∆o do serviáo ou N∆o incidància.;2;V;X;V;X;-;;;
394;;;N∆o Ç permitido o preenchimento dos campos do grupo de informaá‰es relativas Ö Deduá∆o/Reduá∆o para o ISSQN quando o prestador do serviáo Ç MEI (opSimpNac = 2).;;Obrig.;Rej.;E0436;N∆o Ç permitido o preenchimento dos campos do grupo de informaá‰es relativas Ö Deduá∆o/Reduá∆o do ISSQN quando o prestador de serviáo Ç MEI.;2;V;X;V;X;-;;;
395;;;N∆o Ç permitido o preenchimento dos campos do grupo de informaá‰es relativas Ö Deduá∆o/Reduá∆o para o ISSQN, quando o prestador de serviáo tiver um regime especial de tributaá∆o, ou seja, o campo que indica o regime especial de tributaá∆o Ç diferente de 0, (regEspTrib = 1, 2, 3, 4, 5, 6 ou 9).;;Obrig.;Rej.;E0438;N∆o Ç permitido o preenchimento dos campos do grupo de informaá‰es relativas Ö Deduá∆o/Reduá∆o do ISSQN, quando o prestador de serviáo tiver algum regime especial de tributaá∆o.;2;V;X;V;X;-;;;
396;;;"N∆o Ç permitido o preenchimento dos campos do grupo de informaá‰es relativas Ö Deduá∆o/Reduá∆o para o ISSQN, quando o benef°cio municipal informado na DPS for do tipo ""Isená∆o"".";;Obrig.;Rej.;E0439;"N∆o Ç permitido o preenchimento dos campos do grupo de informaá‰es relativas Ö Deduá∆o/Reduá∆o do ISSQN, quando o benef°cio municipal informado na DPS for do tipo ""Isená∆o"".";2;V;X;V;X;-;;;
397;;;"Se o prestador de serviáo n∆o for optante do Simples Nacional (opSimpNac = 1) e a situaá∆o do convànio do munic°pio de incidància do ISSQN no Sistema Nacional NFS-e for ""Ativo"", ent∆o o sistema permite informaá‰es de deduá∆o/reduá∆o, conforme admiss‰es dos tipos de deduá∆o/reduá∆o nas parametrizaá‰es dos respectivos c¢digos de serviáo administrado pelo municipio de incidància do ISSQN no Sistema Nacional NFS-e.";;Obrig.;Rej.;E0440;O tipo de deduá∆o/reduá∆o informado na DPS n∆o Ç permitida pelo munic°pio de incidància do ISSQN, conforme parametrizaá‰es do c¢digo de serviáo do munic°pio de incidància.;2;V;X;X;X;-;;;
