#;CAMINHO NO XML;CAMPO;"REGRAS DE NEG‡CIO PARA A NOTA FISCAL DE SERVIÄO ELETR‚NICA DO 
SISTEMA NACIONAL NFS-e";;;;;;"N÷VEL
DA REGRA";"EMISSORES PÈBLICOS NACIONAIS NFS-e
(SEFIN, WEB, APP)";;ADN NFS-e;;OBSERVAÄÂES DE NEG‡CIO;;;
23;NFSe/infNFSe/;tpEmis;-;;-;-;-;-;-;-;-;-;-;-;;;
24;NFSe/infNFSe/;procEmi;"Os emissores p£blicos nacionais devem gerar a NFS-e informando qual o processo de emiss∆o:

1 - Emiss∆o com aplicativo do contribuinte (via Web Service);
2 - Emiss∆o com aplicativo disponibilizado pelo fisco (Web);
3 - Emiss∆o com aplicativo disponibilizado pelo fisco (App);

Verificar se a NFS-e compartilhada pelo munic°pio preencheu alguma informaá∆o para o processo de emiss∆o. 
Este campo n∆o deve ser informado em NFS-e compartilhada com o ADN NFS-e.";;Obrig.;Rej.;E1276;A informaá∆o do processo de emiss∆o de NFS-e Ç exclusiva para notas emitidas pela Sefin Nacional NFS-e. O munic°pio n∆o deve informar este campo nas NFS-e compartilhadas com o ADN NFS-e.;1;V;V;V;V;-;;;
25;NFSe/infNFSe/;cStat;-;;-;-;-;-;-;-;-;-;-;-;;;
26;NFSe/infNFSe/;dhProc;A data e hora do processamento (geraá∆o) da NFS-e deve ser anterior ou igual Ö data e hora da sua recepá∆o pelo Sistema Nacional NFS-e.;;Obrig.;Rej.;E1278;A data e hora do processamento (geraá∆o) da NFS-e deve ser anterior ou igual Ö data da recepá∆o pelo Sistema Nacional NFS-e.;1;V;V;V;V;-;;;
27;NFSe/infNFSe/;nDFSe;-;;-;-;-;-;-;-;-;-;-;-;;;
28;NFSe/infNFSe/;emit;-;;-;-;-;-;-;;-;;-;-;;;
29;NFSe/infNFSe/emit/;CNPJ;Verificar se o CNPJ informado para o emitente da NFS-e Ç v†lido (verificar DV).;;Obrig.;Rej.;E1280;CNPJ informado para o emitente da NFS-e Ç inv†lido (verificar DV).;1;V;V;V;V;-;;;
30;;;"Verificar se o CNPJ do emitente corresponde ao CNPJ informado para prestador ou tomador ou intermedi†rio, conforme o valor do campo tpEmit informado na DPS.
tpemit = 1 - Prestador, tpemit = 2 - Tomador, tpemit = 3 - Intermedi†rio,";;Obrig.;Rej.;E1282;O CNPJ do emitente n∆o corresponde ao CNPJ do informado conforme o tipo de emitente informado na DPS.;1;V;V;V;V;;;;
31;NFSe/infNFSe/emit/;CPF;Verificar se o CPF informado para o emitente da NFS-e Ç v†lido (verificar DV).;;Obrig.;Rej.;E1284;CPF informado para o emitente da NFS-e Ç inv†lido (verificar DV).;1;V;V;V;V;-;;;
32;;;"Verificar se o CPF do emitente corresponde ao CPF informado para prestador ou tomador ou intermedi†rio, conforme o valor do campo tpEmit informado na DPS.
tpemit = 1 - Prestador, tpemit = 2 - Tomador, tpemit = 3 - Intermedi†rio,";;Obrig.;Rej.;E1285;O CPF do emitente n∆o corresponde ao CPF do informado conforme o tipo de emitente informado na DPS.;1;V;V;V;V;;;;
33;NFSe/infNFSe/emit/;IM;-;;-;-;-;-;-;-;-;-;-;-;;;
34;NFSe/infNFSe/emit/;xNome;-;;-;-;-;-;-;-;-;-;-;-;;;
35;NFSe/infNFSe/emit/;xFant;-;;-;-;-;-;-;-;-;-;-;-;;;
36;NFSe/infNFSe/emit/;enderNac;-;;-;-;-;-;-;;-;;-;-;;;
37;NFSe/infNFSe/emit/enderNac/;xLgr;-;;-;-;-;-;-;-;-;-;-;-;;;
38;NFSe/infNFSe/emit/enderNac/;nro;-;;-;-;-;-;-;-;-;-;-;-;;;
39;NFSe/infNFSe/emit/enderNac/;xCpl;-;;-;-;-;-;-;-;-;-;-;-;;;
40;NFSe/infNFSe/emit/enderNac/;xBairro;-;;-;-;-;-;-;-;-;-;-;-;;;
41;NFSe/infNFSe/emit/enderNac/;cMun;Verificar se o c¢digo do munic°pio do emitente da NFS-e corresponde ao c¢digo do munic°pio emissor (cLocEmi) informado na NFS-e.;;Obrig.;Rej.;E1286;O c¢digo do munic°pio do emitente da NFS-e difere do c¢digo do municipio emissor informado na NFS-e.;1;V;V;V;V;-;;;
42;NFSe/infNFSe/emit/enderNac/;UF;-;;-;-;-;-;-;-;-;-;-;-;;;
43;NFSe/infNFSe/emit/enderNac/;CEP;-;;-;-;-;-;-;-;-;-;-;-;;;
44;NFSe/infNFSe/emit/;fone;-;;-;-;-;-;-;-;-;-;-;-;;;
45;NFSe/infNFSe/emit/;email;-;;-;-;-;-;-;-;-;-;-;-;;;
46;NFSe/infNFSe/;valores;Exceto para o campo vLiq, n∆o Ç permitido informar os demais campos do grupo valores quando o prestador Ç optante do simples nacional do tipo MEI (opSimpNac = 2).;;Obrig.;Rej.;E1302;Exceto para o campo vLiq, n∆o Ç permitido informar os demais campos do grupo valores para prestador de serviáo optante do simples nacional do tipo MEI.;1;V;X;V;X;;;;
